Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Event_Date
20020917X03629,Accident,LAX82DUG12,1982-05-28,"PALM SPRINGS, CA",United States,,,PSP,PALM SPRINGS,Non-Fatal,Minor,Airplane,N1009R,Swearingen,SA226-TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Sunaire,0.0,1.0,0.0,5.0,VMC,Standing,Probable Cause,28-05-1983,1982-05-28
20020917X04014,Accident,NYC82DHD14,1982-06-20,"WASHINGTON TOWN, NJ",United States,,,,,Non-Fatal,Minor,Balloon,N57023,Raven,S-66A,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,20-06-1983,1982-06-20
20020917X03789,Accident,MIA82FLD19,1982-06-20,"BROOKSVILLE, FL",United States,,,,HERN CTY,Non-Fatal,Minor,Glider,N2643H,Schweizer,2-33A,Yes,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,1.0,VMC,Landing,Probable Cause,20-06-1983,1982-06-20
20020917X03442,Accident,FTW82DRJ19A,1982-06-27,"LUFKIN, TX",United States,,,,ANGELINA,Non-Fatal,Minor,Airplane,N59257,Boeing,B-75,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,27-06-1983,1982-06-27
20020917X03515,Accident,LAX82AA259,1982-07-16,"MORTON, WY",United States,,,,,Non-Fatal,Minor,Airplane,N1815U,Mcdonnell Douglas,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,7.0,19.0,142.0,VMC,Cruise,Probable Cause,16-07-1983,1982-07-16
20020917X03176,Accident,DEN82DA157B,1982-08-06,"GRAFTON, ND",United States,,,54D,GRAFTON MUNICIPAL,Non-Fatal,Minor,Airplane,N6509K,Grumman,G-164B,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,06-08-1983,1982-08-06
20020917X03990,Accident,NYC82DA190B,1982-08-10,"LEBANON, NH",United States,,,LEB,LEBANON MUNICIPAL,Non-Fatal,Minor,Airplane,N5037D,Cessna,182A,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,10-08-1983,1982-08-10
20020917X03412,Accident,FTW82DA339A,1982-08-21,"ABILENE, TX",United States,,,6F4,ELMDALE,Non-Fatal,Minor,Airplane,N42BA,North American,AT-6A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,2.0,VMC,Taxi,Probable Cause,21-08-1983,1982-08-21
20020917X03205,Accident,DEN82DTK07,1982-08-22,"PHILLIP, SD",United States,,,,,Non-Fatal,Minor,Balloon,N4010S,Raven,RX-7,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,2.0,VMC,Standing,Probable Cause,22-08-1983,1982-08-22
20020917X04148,Accident,SEA82DA150B,1982-08-27,"AUBURN, WA",United States,,,S50,AUBURN MUNICIPAL,Non-Fatal,Minor,Airplane,N1338J,Rockwell,112A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,27-08-1983,1982-08-27
20020917X04585,Accident,FTW82DA361B,1982-09-01,"PLAINVIEW, TX",United States,,,PVW,HALE COUNTY,Non-Fatal,Minor,Airplane,N520T,Beech,95-C55,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,01-09-1983,1982-09-01
20020917X04592,Accident,FTW82DA368A,1982-09-05,"KATY, TX",United States,,,9XS9,HARBICAN,Non-Fatal,Minor,Airplane,N4167Y,Bellanca,8GCBC,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,05-09-1983,1982-09-05
20020917X04299,Accident,ATL83FA025A,1982-11-06,"ELIZABETH CITY, NC",United States,,,ECG,,Non-Fatal,Minor,Airplane,N47MJ,Gates Learjet,25,No,2.0,Turbo Jet,Unknown,UNK,Unknown,,0.0,0.0,0.0,11.0,VMC,Cruise,Probable Cause,06-11-1983,1982-11-06
20020917X04312,Accident,ATL83FA071B,1982-12-26,"APEX, NC",United States,,,NC81,COX FIELD,Non-Fatal,Minor,Airplane,N73260,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,1.0,VMC,Approach,Probable Cause,26-12-1983,1982-12-26
20001214X42279,Accident,MKC83FA072,1983-02-24,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTL.,Non-Fatal,Minor,,N237AM,Swearingen,SA 226TC,No,2.0,Turbo Prop,,SCHD,Unknown,Air Midwest,0.0,1.0,0.0,9.0,VMC,Standing,Probable Cause,,1983-02-24
20001214X42494,Accident,LAX83LA145,1983-03-06,"FREMONT, CA",United States,,,807,SKY SAILING,Non-Fatal,Minor,,N7547,Schweizer,SGS2-33A,No,1.0,Unknown,,,Personal,,0.0,1.0,0.0,1.0,VMC,Takeoff,Probable Cause,,1983-03-06
20001214X42447,Accident,FTW83LA162B,1983-03-17,"DFW AIRPORT, TX",United States,,,DFW,DFW AIRPORT,Non-Fatal,Minor,,N130L,Beech,E18,No,2.0,Reciprocating,,NSCH,Unknown,Abc Airlines Inc. (dba: P.o. Box 5),0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,,1983-03-17
20001214X42387,Accident,DCA83AA021,1983-03-23,"CASPER, WY",United States,,,CPR,CASPER,Non-Fatal,Minor,,N7381F,Boeing,737-2H4,No,2.0,Turbo Jet,,SCHD,Unknown,"Frontier Airlines, Inc. (dba: Frontier Airlines, Inc.)",0.0,1.0,0.0,95.0,VMC,Landing,Probable Cause,,1983-03-23
20001214X42919,Accident,CHI83LA216A,1983-05-15,"JANESVILLE, WI",United States,,,W182,ROCK COUNTY,Non-Fatal,Minor,,N8576J,Cessna,150,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,5.0,VMC,Standing,Probable Cause,,1983-05-15
20001214X43069,Accident,LAX83LU005,1983-05-18,"SHAFTER, CA",United States,,,MIT,SHAFTER,Non-Fatal,Minor,,NONE,Wizard,W-1,Yes,1.0,Reciprocating,,UNK,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,,1983-05-18
20001214X43259,Accident,CHI83LA256,1983-06-14,"ANDERSON, IN",United States,,,AID,ANDERSON MUNICIPAL,Non-Fatal,Minor,,N82DG,Quickie,Q2,Yes,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,,1983-06-14
20001214X43270,Accident,CHI83LA272,1983-06-21,"MILWAUKEE, WI",United States,,,MKE,MITCHELL,Non-Fatal,Minor,,N980Z,Douglas,DC-9-30,No,2.0,Turbo Jet,,SCHD,Unknown,,0.0,1.0,0.0,9.0,VMC,Other,Probable Cause,,1983-06-21
20001214X43847,Accident,MIA83FU005B,1983-07-10,"JACKSONVILLE, FL",United States,,,23J,HERLONG,Non-Fatal,Minor,,NONE,Pterodactyl,ASCENDER,No,1.0,Reciprocating,,UNK,Personal,,0.0,1.0,0.0,1.0,VMC,Maneuvering,Probable Cause,,1983-07-10
20001214X43641,Accident,ATL83LKW02,1983-07-30,"NASHVILLE, TN",United States,,,BNA,NASHVILLE METRO AIRPORT,Non-Fatal,Minor,,N5270B,Cessna,152,No,4.0,Reciprocating,,,Personal,,0.0,1.0,0.0,1.0,VMC,Standing,Probable Cause,,1983-07-30
20001214X44190,Accident,LAX83FA382B,1983-08-11,"TEMECULA, CA",United States,,,2L0,RANCHO CALIFORNIA,Non-Fatal,Minor,,N46757,Cessna,152,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,,1983-08-11
20001214X44372,Accident,SEA83LA188,1983-08-29,"QUINCY, WA",United States,,,,WEBER FARMS,Non-Fatal,Minor,,N48719,Grumman,G-164,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,3.0,0.0,1.0,VMC,Go-around,Probable Cause,,1983-08-29
20001214X44134,Accident,DEN83LU004,1983-08-29,"GRAND JUNCTION, CO",United States,,,,,Non-Fatal,Minor,,NONE,Starflight,STARFIRE,No,1.0,Reciprocating,,UNK,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,,1983-08-29
20001214X44674,Accident,NYC83FU012,1983-09-25,"MILAN, NH",United States,,,BML,BERLIN AIRPORT,Non-Fatal,Minor,,NONE,Robertson,BIRD,No,1.0,Reciprocating,,UNK,Personal,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,,1983-09-25
20001214X45028,Accident,DEN84FA021,1983-11-06,"SIOUX FALLS, SD",United States,,,FSD,SIOUX FALLS,Non-Fatal,Minor,,N7517U,Convair,580,No,2.0,Turbo Prop,,SCHD,Unknown,Republic Airlines (dba: Republic Airlines),0.0,1.0,1.0,33.0,VMC,Approach,Probable Cause,,1983-11-06
20001214X45071,Accident,FTW84LA056C,1983-11-11,"HOUSTON, TX",United States,,,AAP,ANDRAU,Non-Fatal,Minor,,N711RT,Cessna,414A,No,2.0,Reciprocating,,UNK,Business,,0.0,0.0,0.0,5.0,VMC,Standing,Probable Cause,19-03-2002,1983-11-11
20001214X45027,Accident,DCA84AA008,1983-11-24,"CHARLESTON, SC",United States,,,,,Non-Fatal,Minor,,CFTNJ,Lockheed,L-1011,No,3.0,Turbo Fan,,SCHD,Unknown,Air Canada,0.0,5.0,20.0,136.0,UNK,Cruise,Probable Cause,,1983-11-24
20001214X45267,Accident,DEN84LA034,1983-12-01,"HELENA, MT",United States,,,HLN,HELENA,Non-Fatal,Minor,,N4818D,Cessna,172N,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,1.0,VMC,Standing,Probable Cause,,1983-12-01
20001214X45307,Accident,FTW84LA105,1983-12-28,VERMILLION 255B,,,,,,Non-Fatal,Minor,,N2145C,Bell,206B III,No,1.0,Turbo Shaft,,NSCH,Unknown,,0.0,1.0,0.0,2.0,IMC,Standing,Probable Cause,,1983-12-28
20001214X39029,Accident,FTW84LA155B,1984-03-02,"DURANT, OK",United States,,,,,Non-Fatal,Minor,,N704VC,Cessna,150M,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Other,Probable Cause,,1984-03-02
20001214X39020,Accident,FTW84FA153,1984-03-04,"LAMPASAS, TX",United States,,,,,Non-Fatal,Minor,,N471BN,Boeing,727-200,No,3.0,Turbo Jet,,SCHD,Unknown,Braniff Inc.,0.0,1.0,3.0,44.0,VMC,Cruise,Probable Cause,,1984-03-04
20001214X39166,Accident,NYC84LA147B,1984-03-15,"FITCHBURG, MA",United States,,,FIT,FITCHBURG,Non-Fatal,Minor,,N2773U,Cessna,172D,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,,1984-03-15
20001214X39077,Accident,LAX84LA231,1984-03-23,"PHOENIX, AZ",United States,,,,,Non-Fatal,Minor,,N36104,Balloon Works,FIRE FLY 8-24,No,1.0,Unknown,,,Aerial Observation,,0.0,2.0,3.0,1.0,VMC,Landing,Probable Cause,,1984-03-23
20001214X39076,Accident,LAX84LA230A,1984-03-24,"RAMONA, CA",United States,,,139,ROMANA,Non-Fatal,Minor,,N1364J,North American,T-6G,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,2.0,VMC,Taxi,Probable Cause,,1984-03-24
20001214X39339,Accident,MIA84LA127A,1984-04-02,"ST. AUGUSTINE, FL",United States,,,,,Non-Fatal,Minor,,N1947G,Bucker Flugzeugbau,JUNGMANN,No,1.0,Reciprocating,,,Unknown,,0.0,0.0,0.0,2.0,UNK,Maneuvering,Probable Cause,,1984-04-02
20001214X39306,Accident,LAX84LA245B,1984-04-07,"BUELLTON, CA",United States,,,,,Non-Fatal,Minor,,N753CW,Beech,E18S,No,2.0,Reciprocating,,,Positioning,,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,,1984-04-07
20001214X39281,Accident,FTW84LA203,1984-04-18,"BELLE CHASSE, LA",United States,,,,,Non-Fatal,Minor,,N69GV,Cessna,185F,No,1.0,Reciprocating,,NSCH,Unknown,Southern Seaplane Inc,0.0,1.0,1.0,1.0,VMC,Other,Probable Cause,,1984-04-18
20001214X39591,Accident,FTW84LA234,1984-05-16,"CLARKSVILLE, TX",United States,,,,,Non-Fatal,Minor,,N215RL,Canadair,CL-600,No,2.0,Turbo Fan,,,Ferry,,0.0,1.0,0.0,2.0,VMC,Cruise,Probable Cause,,1984-05-16
20001214X39651,Accident,LAX84LA313A,1984-05-22,"BALLARD, CA",United States,,,,,Non-Fatal,Minor,,N73857,Cessna,172N,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause,,1984-05-22
20001214X39748,Accident,NYC84LA205A,1984-05-31,"TETERBORO, NJ",United States,,,TEB,TETERBORO,Non-Fatal,Minor,,N33086,Piper,PA-34-200T,No,2.0,Reciprocating,,,Ferry,,0.0,0.0,2.0,2.0,IMC,Taxi,Probable Cause,,1984-05-31
20001214X39876,Accident,CHI84LA260,1984-06-23,"GENEVA, IL",United States,,,,,Non-Fatal,Minor,,N1537D,Balloon Works,FIREFLY 7,No,0.0,Unknown,,,Personal,,0.0,2.0,0.0,0.0,VMC,Descent,Probable Cause,,1984-06-23
20001214X40512,Accident,SEA84LA159B,1984-07-03,"EPHRATA, WA",United States,,,,,Non-Fatal,Minor,,N20UZ,Schleicher,ASW-20,No,0.0,Unknown,,,Personal,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,,1984-07-03
20001214X40260,Accident,CHI84LU006,1984-07-07,"HARTFORD, WI",United States,,,,,Non-Fatal,Minor,,NONE,Pterodactyl,FLEDGLING,Yes,1.0,Reciprocating,,UNK,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,,1984-07-07
20001214X40448,Accident,MKC84LA230B,1984-07-24,"HANNIBAL, MO",United States,,,HAE,HANNIBAL MUNICIPAL,Non-Fatal,Minor,,N38455,Piper,PA-34-200T,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,1984-07-24
20001214X40619,Accident,CHI84LA325B,1984-08-02,"AKRON, OH",United States,,,AKR,AKRON FULTON INT'L,Non-Fatal,Minor,,N32625,Piper,PA-34-200T,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,,1984-08-02
20001214X40807,Accident,MIA84LA235B,1984-08-22,"ORLANDO, FL",United States,,,,ORLANDO EXECUTIVE,Non-Fatal,Minor,,N711RS,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,,1984-08-22
20001214X40850,Accident,NYC84FA293A,1984-08-26,"MERIDEN, CT",United States,,,MMK,MERIDEN-MARKHAM MUNICIPAL,Non-Fatal,Minor,,N45288,Cessna,150M,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause,,1984-08-26
20001214X40737,Accident,FTW84LA373B,1984-08-30,"BETHANY, OK",United States,,,,WILEY POST AIRPORT,Non-Fatal,Minor,,N1PN,De Havilland,DHC-1B-2-S5,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,,1984-08-30
20001214X41166,Accident,MKC84FCD03,1984-09-16,"AMES, IA",United States,,,AMW,AMES,Non-Fatal,Minor,,N9920J,Schweizer,SGU2-22E,No,1.0,Unknown,,,Instructional,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,,1984-09-16
20001214X41343,Accident,DEN85LA005,1984-10-08,"ALBUQUERQUE, NM",United States,,,ABQ,ALBUQUERQUE INT'L,Non-Fatal,Minor,,N47DP,Piccard,AX6W,No,0.0,Unknown,,,Personal,,0.0,1.0,1.0,0.0,VMC,Approach,Probable Cause,,1984-10-08
20001214X41506,Accident,ATL85LA031,1984-11-09,"HOGANSVILLE, GA",United States,,,,,Non-Fatal,Minor,,N505WW,Hughes,369HS,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,2.0,VMC,Standing,Probable Cause,,1984-11-09
20001214X41581,Accident,FTW85LA046B,1984-11-11,"AMARILLO, TX",United States,,,TDW,TRADEWIND,Non-Fatal,Minor,,N3376V,Cessna,150M,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Standing,Probable Cause,,1984-11-11
20001214X41856,Accident,MIA85LA063B,1984-12-23,"DELAND, FL",United States,,,,DELAND MUNICIPAL,Non-Fatal,Minor,,N41Q,Douglas Swanningson,QUICKIE,Yes,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,,1984-12-23
20001214X35572,Accident,MIA85LA072,1985-01-05,"POMPANO BEACH, FL",United States,,,,,Non-Fatal,Minor,,N4270A,Raven,S-60A,No,1.0,Unknown,,,Business,,0.0,1.0,0.0,4.0,VMC,Landing,Probable Cause,,1985-01-05
20001214X35972,Accident,LAX85LA223,1985-03-24,"PANAMINT VALLEY, CA",United States,,,,,Non-Fatal,Minor,,N2614K,General Balloon,AX-6,No,1.0,Unknown,,,Personal,,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,,1985-03-24
20001214X36530,Accident,MIA85LA167B,1985-05-07,"WINTER HAVEN, FL",United States,,,GIF,WINTER HAVEN,Non-Fatal,Minor,,N54550,Cessna,305A,No,1.0,Reciprocating,,,Unknown,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,,1985-05-07
20001214X36374,Accident,ATL85LLT07,1985-05-08,"FRANKLIN, TN",United States,,,,,Non-Fatal,Minor,,N4049Y,Barnes,FF-7,No,0.0,Unknown,,,Personal,,0.0,1.0,0.0,2.0,VMC,Landing,Probable Cause,,1985-05-08
20001214X36344,Accident,ANC85LA109A,1985-05-11,"EMMONAK, AK",United States,,,,,Non-Fatal,Minor,,N9975M,Cessna,207,No,1.0,Reciprocating,,NSCH,Unknown,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,,1985-05-11
20001214X36348,Accident,ATL85FA169B,1985-05-18,"COLUMBIANA, AL",United States,,,NONE,FLYING X RANCH,Non-Fatal,Minor,,NONE,Unknown,GLIDER TRYKE,No,1.0,Reciprocating,,UNK,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,,1985-05-18
20001214X36661,Accident,ATL85FLT08,1985-06-27,"MARKS, MS",United States,,,,,Non-Fatal,Minor,,N4905Q,Cessna,A188B,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,1.0,0.0,1.0,VMC,Maneuvering,Probable Cause,,1985-06-27
20001214X37484,Accident,FTW85LA313,1985-08-09,"FOLLETT, TX",United States,,,TX80,FOLLETT LIPSCOMB CO.,Non-Fatal,Minor,,N9457,Cessna,182Q,No,1.0,Reciprocating,,,Business,,0.0,1.0,0.0,1.0,VMC,Standing,Probable Cause,,1985-08-09
20001214X37556,Accident,MIA85FA233A,1985-08-12,"KISSIMMEE, FL",United States,,,ISM,KISSIMME MUNICIPAL,Non-Fatal,Minor,,N704MH,Cessna,C-150,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,,1985-08-12
20001214X37833,Accident,MIA85FA247B,1985-09-06,"PENSACOLA, FL",United States,,,NPA,PENSACOL,Non-Fatal,Minor,,USN,North American,T-2C,No,2.0,Turbo Jet,,UNK,Unknown,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,,1985-09-06
20001214X37850,Accident,MIA85LA259B,1985-09-19,"LANTANA, FL",United States,,,LWA,PALM BEACH COUNTY PARK,Non-Fatal,Minor,,N8376F,Hughes,269C,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause,,1985-09-19
20001214X37981,Accident,CHI86LA005A,1985-10-06,"HARTFORD, WI",United States,,,C31,HARTFORD MUNI,Non-Fatal,Minor,,N14JK,Todd,PITTS,Yes,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,1985-10-06
20001214X38006,Accident,DEN86LA010,1985-10-13,"ALBUQUERQUE, NM",United States,,,,UNKNOWN,Non-Fatal,Minor,,N4395C,Raven,S60A,No,1.0,Unknown,,,Business,,0.0,1.0,1.0,3.0,VMC,Landing,Probable Cause,,1985-10-13
20001214X38161,Accident,SEA86LA014B,1985-10-17,"PULLMAN, WA",United States,,,PUW,PULLMAN,Non-Fatal,Minor,,N4702A,Cessna,152,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,1985-10-17
20001214X38258,Accident,LAX86LA031A,1985-11-03,"ANGWIN, CA",United States,,,203,VIRGIL O. PARRETT FIELD,Non-Fatal,Minor,,N21491,Piper,PA-28-181,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,6.0,VMC,Takeoff,Probable Cause,,1985-11-03
20001214X38261,Accident,LAX86LA034B,1985-11-06,"CHANDLER, AZ",United States,,,P10,CHANDLER MUNI,Non-Fatal,Minor,,N2315V,Piper,PA-38-112,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,,1985-11-06
20010110X00221,Accident,MIA86LA061B,1986-01-20,"VERO BEACH, FL",United States,,,VRB,VERO BEACH MUNICIPAL,Non-Fatal,Minor,,N3745Q,Piper,PA-28R-201,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,,1986-01-20
20010110X00273,Accident,SEA86LA049B,1986-01-30,"METLAKATLA, AK",United States,,,MTB,METLAKATLA SEAPLANE BASE,Non-Fatal,Minor,,N1018H,De Havilland,DHC-2,No,1.0,Reciprocating,,SCHD,Unknown,West Flight Aviation,0.0,0.0,0.0,9.0,VMC,Taxi,Probable Cause,,1986-01-30
20001213X33053,Accident,FTW86FA049B,1986-03-28,"MCKINNEY, TX",United States,,,TX05,AERO COUNTRY,Non-Fatal,Minor,,N4431B,Cessna,L-19E,No,1.0,Reciprocating,,,Unknown,,0.0,1.0,0.0,3.0,VMC,Takeoff,Probable Cause,,1986-03-28
20001213X33398,Accident,NYC86LA101,1986-04-07,"JAMESTOWN, NY",United States,,,,,Non-Fatal,Minor,,00SLB,Douglas,DC-10-30,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,2.0,10.0,71.0,VMC,Descent,Probable Cause,11-08-1988,1986-04-07
20001213X33886,Accident,FTW86LA120A,1986-06-23,"OKLAHOMA CITY, OK",United States,,,OKC,WILL ROGERS WORLD,Non-Fatal,Minor,,N2001C,Beech,E18S,No,2.0,Reciprocating,,NSCH,Unknown,Springdale Air Service,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,,1986-06-23
20001213X34081,Accident,ATL86LA202,1986-07-21,"MONTGOMERY, AL",United States,,,,,Non-Fatal,Minor,,N9332,Douglas,DC-9-31,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,1.0,39.0,VMC,Cruise,Probable Cause,,1986-07-21
